,주소,lat,lng
0,서울특별시 강남구 언주로 103,37.5062083,127.0379507
1,서울특별시 강남구 언주로 3,37.4762642,127.0567424
5,서울특별시 강남구 개포로 264,37.485149,127.0598953
25,서울특별시 강남구 개포로 307,37.4839447,127.0561699
36,서울특별시 강남구 개포로109길 69,37.4960876,127.0767362
44,서울특별시 강남구 삼성로4길 17,37.4875354,127.0686558
50,서울특별시 강남구 개포로 516,37.4888326,127.071487
66,서울특별시 강남구 언주로 105,37.4816442,127.0526666
67,서울특별시 강남구 언주로 110,37.4843872,127.054267
82,서울특별시 강남구 논현로2길 61-4,37.4747735,127.0547895
84,서울특별시 강남구 삼성로 11,37.4841132,127.067294
110,서울특별시 강남구 선릉로 8,37.4831816,127.0618659
143,서울특별시 강남구 개포로109길 21,37.4939654,127.0750977
168,서울특별시 강남구 개포로 405,37.4871869,127.0602688
169,서울특별시 강남구 논현로2길 36,37.4732407,127.0530892
170,서울특별시 강남구 논현로2길 38,37.4733275,127.0532351
173,서울특별시 강남구 개포로109길 9,37.4939654,127.0750977
228,서울특별시 강남구 논현로2길 22,37.4727746,127.0523738
231,서울특별시 강남구 선릉로8길 5,37.4828707,127.0612704
232,서울특별시 강남구 개포로 411,37.4881707,127.0625135
236,서울특별시 강남구 개포로 311,37.4848024,127.0571779
239,서울특별시 강남구 개포로31길 3-12,37.4793154,127.0489038
240,서울특별시 강남구 개포로 303,37.4825481,127.0544891
248,서울특별시 강남구 언주로 107,37.5072468,127.0368088
255,서울특별시 강남구 개포로 409,37.4878994,127.0609236
259,서울특별시 강남구 봉은사로11길 12,37.5066597,127.0289875
260,서울특별시 강남구 강남대로112길 41,37.5062954,127.0276384
269,서울특별시 강남구 언주로116길 12,37.5106451,127.0381352
270,서울특별시 강남구 논현로113길 5,37.5081015,127.0328405
272,서울특별시 강남구 논현로111길 39,37.5067547,127.0303436
274,서울특별시 강남구 학동로46길 32,37.5141181,127.0387343
276,서울특별시 강남구 학동로30길 21,37.5125829,127.032682
278,서울특별시 강남구 언주로 615,37.51047,127.0357802
280,서울특별시 강남구 학동로43길 38,37.5184174,127.0380027
282,서울특별시 강남구 학동로 338,37.5164665,127.0404191
284,서울특별시 강남구 언주로125길 12,37.5129702,127.0340921
285,서울특별시 강남구 언주로116길 6,37.5102504,127.0375793
288,서울특별시 강남구 언주로130길 30,37.5145526,127.0380907
295,서울특별시 강남구 언주로146길 18,37.5193601,127.0366998
302,서울특별시 강남구 언주로122길 25,37.5125374,127.0383688
304,서울특별시 강남구 논현로124길 8,37.5121468,127.0323585
306,서울특별시 강남구 선릉로137길 21,37.5186949,127.0386631
307,서울특별시 강남구 학동로 165,37.5138229,127.0289671
333,서울특별시 강남구 학동로11길 13,37.5130238,127.0243963
336,서울특별시 강남구 학동로21길 23,37.514805,127.0273165
337,서울특별시 강남구 학동로7길 6,37.5124262,127.0239347
340,서울특별시 강남구 강남대로146길 28,37.5146969,127.0227423
360,서울특별시 강남구 도산대로50길 43,37.5196689,127.0379979
363,서울특별시 강남구 언주로 604,37.5093526,127.0388621
370,서울특별시 강남구 강남대로146길 13,37.5149633,127.0211766
388,서울특별시 강남구 언주로136길 21,37.517802,127.0373364
392,서울특별시 강남구 강남대로120길 58,37.507516,127.0280399
393,서울특별시 강남구 학동로9길 15,37.5131711,127.0239024
394,서울특별시 강남구 논현로111길 34,37.5071701,127.0306798
395,서울특별시 강남구 학동로43길 30,37.5180203,127.0379207
396,서울특별시 강남구 학동로9길 21,37.5135367,127.0237619
397,서울특별시 강남구 강남대로136길 40,37.5137051,127.0236364
398,서울특별시 강남구 도산대로 232,37.5205398,127.0326528
403,서울특별시 강남구 선릉로111길 38-16,37.511208,127.0402036
404,서울특별시 강남구 언주로 641,37.5137802,127.0349707
406,서울특별시 강남구 논현로140길 22,37.5169037,127.0312903
407,서울특별시 강남구 봉은사로29길 35,37.5096909,127.0334919
413,서울특별시 강남구 도산대로46길 21,37.5206817,127.037115
415,서울특별시 강남구 봉은사로21길 19,37.5074711,127.0307946
417,서울특별시 강남구 학동로42길 60,37.5115504,127.0367685
420,서울특별시 강남구 언주로122길 6,37.5118264,127.036584
421,서울특별시 강남구 선릉로 120,37.5137517,127.0435828
440,서울특별시 강남구 삼성로51길 10-13,37.4972827,127.0604375
441,서울특별시 강남구 삼성로85길 42,37.5045291,127.0537958
447,서울특별시 강남구 선릉로90길 56,37.5050714,127.0537731
455,서울특별시 강남구 삼성로85길 38,37.5045644,127.0541516
457,서울특별시 강남구 도곡로78길 22,37.4965682,127.0588507
460,서울특별시 강남구 선릉로 222,37.495014,127.0545774
467,서울특별시 강남구 영동대로 230,37.5002033,127.0691228
480,서울특별시 강남구 선릉로76길 12,37.5013596,127.0515885
481,서울특별시 강남구 삼성로64길 5,37.5008289,127.0608409
487,서울특별시 강남구 삼성로64길 12,37.4997794,127.0612125
488,서울특별시 강남구 선릉로 206,37.4925092,127.0559479
497,서울특별시 강남구 삼성로51길 35,37.496114,127.059466
498,서울특별시 강남구 삼성로51길 37,37.4942012,127.0584852
513,서울특별시 강남구 도곡로93길 12,37.500937,127.0653883
516,서울특별시 강남구 도곡로78길 13,37.4975065,127.0601395
517,서울특별시 강남구 삼성로 151,37.4920987,127.0625605
525,서울특별시 강남구 테헤란로64길 9,37.5044448,127.0515902
529,서울특별시 강남구 삼성로63길 16-5,37.4999932,127.0584096
530,서울특별시 강남구 영동대로 220,37.4994947,127.0703247
537,서울특별시 강남구 영동대로 210,37.4979951,127.0709857
545,서울특별시 강남구 선릉로86길 11,37.5033662,127.0505735
546,서울특별시 강남구 영동대로85길 17,37.5068204,127.0622577
547,서울특별시 강남구 삼성로 212,37.4974576,127.0653265
606,서울특별시 강남구 테헤란로 428,37.5056037,127.0542018
636,서울특별시 강남구 삼성로 417,37.5040431,127.0572425
638,서울특별시 강남구 영동대로 330-7,37.5041928,127.0666699
639,서울특별시 강남구 삼성로64길 36,37.5003644,127.0633914
640,서울특별시 강남구 삼성로 150,37.4925906,127.066184
665,서울특별시 강남구 영동대로57길 28,37.4997456,127.0651317
668,서울특별시 강남구 삼성로85길 33,37.5043669,127.0546834
669,서울특별시 강남구 강남대로 240,37.4852042,127.0344078
675,서울특별시 강남구 논현로 209,37.4887779,127.0408333
679,서울특별시 강남구 남부순환로379길 35,37.4887987,127.0447422
680,서울특별시 강남구 논현로41길 10,37.4742174,127.0476999
683,서울특별시 강남구 언주로30길 13,37.4881387,127.0511666
693,서울특별시 강남구 도곡로6길 18,37.4890286,127.0343337
694,서울특별시 강남구 강남대로 256,37.486424,127.0334977
699,서울특별시 강남구 도곡로28길 8,37.494213,127.0462502
703,서울특별시 강남구 도곡로14길 28,37.4891448,127.0370914
705,서울특별시 강남구 도곡로14길 27,37.489083,127.0378034
706,서울특별시 강남구 선릉로 221,37.4936848,127.0507447
754,서울특별시 강남구 남부순환로370길 20,37.4840828,127.0425453
755,서울특별시 강남구 남부순환로 2615,37.4851386,127.0358583
756,서울특별시 강남구 남부순환로363길 30,37.4874478,127.0392695
765,서울특별시 강남구 남부순환로363길 49,37.4882393,127.0369876
771,서울특별시 강남구 강남대로 272,37.48774,127.0328905
773,서울특별시 강남구 남부순환로377길 22,37.4876531,127.0453685
774,서울특별시 강남구 도곡로 320,37.494213,127.0462502
785,서울특별시 강남구 논현로 213,37.4904143,127.0401859
799,서울특별시 강남구 남부순환로378길 11,37.4854982,127.0465346
800,서울특별시 강남구 남부순환로378길 9,37.4856334,127.0468766
802,서울특별시 강남구 도곡로14길 12,37.490172,127.0367604
804,서울특별시 강남구 남부순환로373길 4,37.4863725,127.0439985
806,서울특별시 강남구 언주로 203,37.4891712,127.0488071
